Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
CVNA,,,,,,,,,,83.1868,12.02113797,,,,
RMBS,,,,,,,,,,64.3951,15.52913187,,,,
ACLS,,,,,,,,,,116.4157,8.589906688,,,,
BV,,,,,,,,,,9.3,107.5268817,,,,
DECK,,,,,,,,,,931.2691,1.07380348,,,,
PLTR,,,,,,,,,,24.0901,41.5108281,,,,
DT,,,,,,,,,,49.0275,20.39671613,,,,
YELP,,,,,,,,,,38.49992,25.97407995,,,,
AMRX,,,,,,,,,,5.4785,182.5317149,,,,
NVDA,,,,,,,,,,852.5,1.173020528,,,,
ANET,,,,,,,,,,290.469,3.442708172,,,,
TPR,,,,,,,,,,48.07,20.80299563,,,,
QLYS,,,,,,,,,,169.8599,5.88720469,,,,
DUOL,,,,,,,,,,228.1298,4.383469411,,,,
NEU,,,,,,,,,,649.9999,1.538461775,,,,
