 (VUG) , , ,  
Holding details,2024-04-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type
,"2588173","MSFT","Microsoft Corp",70837152,$27579028388.16,12.52783,"Software","US","Common Stock"
,"2046251","AAPL","Apple Inc",139758621,$23805085914.93,10.81351,"Technology Hardware, Storage & Peripherals","US","Common Stock"
,"2379504","NVDA","NVIDIA Corp",22590273,$19518447677.46,8.8663,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2000019","AMZN","Amazon.com Inc",88825566,$15544474050,7.06111,"Broadline Retail","US","Common Stock"
,"BYVY8G0","GOOGL","Alphabet Inc",55829049,$9087852596.22,4.12818,"Interactive Media & Services","US","Common Stock"
,"B7TL820","META","Meta Platforms Inc",21062269,$9060356255.73,4.11569,"Interactive Media & Services","US","Common Stock"
,"BYY88Y7","GOOG","Alphabet Inc",45865221,$7551249985.44,3.43017,"Interactive Media & Services","US","Common Stock"
,"2516152","LLY","Eli Lilly & Co",8188383,$6395945961.3,2.90537,"Pharmaceuticals","US","Common Stock"
,"B616C79","TSLA","Tesla Inc",25924027,$4751355668.56,2.15831,"Automobiles","US","Common Stock"
,"B2PZN04","V","Visa Inc",14702928,$3949353490.08,1.794,"Financial Services","US","Common Stock"
,"B121557","MA","Mastercard Inc",7980261,$3600693763.2,1.63562,"Financial Services","US","Common Stock"
,"2701271","COST","Costco Wholesale Corp",4250845,$3072935850.5,1.39589,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2007849","AMD","Advanced Micro Devices Inc",15479483,$2451640517.54,1.11366,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2310525","CRM","Salesforce Inc",8810891,$2369601025.54,1.0764,"Software","US","Common Stock"
,"2857817","NFLX","Netflix Inc",4046757,$2228306274.48,1.01221,"Entertainment","US","Common Stock"
,"BNZHB81","LIN","Linde PLC",4647481,$2049353221.76,0.93092,"Chemicals","US","Common Stock"
,"2008154","ADBE","Adobe Inc",4331321,$2004665298.43,0.91062,"Software","US","Common Stock"
,"2550707","MCD","McDonald's Corp",6919222,$1889224374.88,0.85818,"Hotels, Restaurants & Leisure","US","Common Stock"
,"B4BNMY3","ACN","Accenture PLC",6008725,$1808085439.75,0.82133,"IT Services","US","Common Stock"
