 (VTV) , , ,  
Holding details,2024-04-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
,"2073390","BRK/B","Berkshire Hathaway Inc",14599284,$5791973941.32,3.54391,"Financial Services","US","Common Stock"
,"BDZ78H9","AVGO","Broadcom Inc",3890851,$5059156829.77,3.09552,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2190385","JPM","JPMorgan Chase & Co",23936517,$4589587769.58,2.80821,"Banks","US","Common Stock"
,"2326618","XOM","Exxon Mobil Corp",33001355,$3903070255.85,2.38815,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2917766","UNH","UnitedHealth Group Inc",7686903,$3718154981.1,2.27501,"Health Care Providers & Services","US","Common Stock"
,"2704407","PG","Procter & Gamble Co/The",19554692,$3191325734.4,1.95266,"Household Products","US","Common Stock"
,"2475833","JNJ","Johnson & Johnson",20017826,$2894377461.34,1.77097,"Pharmaceuticals","US","Common Stock"
,"2434209","HD","Home Depot Inc/The",8270733,$2764244383.26,1.69135,"Specialty Retail","US","Common Stock"
,"2778844","MRK","Merck & Co Inc",21058349,$2721159857.78,1.66498,"Pharmaceuticals","US","Common Stock"
,"2838555","CVX","Chevron Corp",14902299,$2403293759.73,1.47049,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"B92SR70","ABBV","AbbVie Inc",14679302,$2387441677.28,1.46079,"Biotechnology","US","Common Stock"
,"2936921","WMT","Walmart Inc",36914518,$2190876643.3,1.34052,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2295677","BAC","Bank of America Corp",55624072,$2058646904.72,1.25961,"Banks","US","Common Stock"
,"2681511","PEP","PepsiCo Inc",11424725,$2009723374.75,1.22968,"Beverages","US","Common Stock"
,"2206657","KO","Coca-Cola Co/The",32250107,$1992089109.39,1.21889,"Beverages","US","Common Stock"
,"2649100","WFC","Wells Fargo & Co",29738154,$1764067295.28,1.07937,"Banks","US","Common Stock"
,"2661568","ORCL","Oracle Corp",13709457,$1559450733.75,0.95417,"Software","US","Common Stock"
,"2714923","QCOM","QUALCOMM Inc",9276528,$1538512168.8,0.94136,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2002305","ABT","Abbott Laboratories",14424261,$1528538938.17,0.93526,"Health Care Equipment & Supplies","US","Common Stock"
,"2198163","CSCO","Cisco Systems Inc",30291122,$1423076911.56,0.87073,"Communications Equipment","US","Common Stock"
