 (VOT) , , ,  
Holding details,2024-02-29
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type
,"BN33VM5","ANET","Arista Networks Inc.",1785445,$495532405.3,2.0467574526,"Communications Equipment","US",---
,"2145084","APH","Amphenol Corp. Class A",4292171,$468876760.04,1.9366584157,"Electronic Components","US",---
,"B11FJK3","TDG","TransDigm Group Inc.",376971,$443973825.54,1.8337988121,"Aerospace & Defense","US",---
,"B5BKPQ4","MSI","Motorola Solutions Inc.",1190620,$393368941.8,1.6247793376,"Communications Equipment","US",---
,"2197137","CTAS","Cintas Corp.",621080,$390417098.8,1.6125869833,"Diversified Support Services","US",---
,"BYVYHH4","WELL","Welltower Inc.",3989357,$367659141.12,1.518587037,"Health Care REITs","US",---
,"BN78DQ4","PLTR","Palantir Technologies Inc. Class A",14103645,$353719416.6,1.4610101061,"Application Software","US",---
,"2208073","CPRT","Copart Inc.",6199751,$329516765.65,1.3610429684,"Diversified Support Services","US",---
,"2592174","MCHP","Microchip Technology Inc.",3881388,$326579986.32,1.3489128334,"Semiconductors","US",---
,"BDR73G1","IQV","IQVIA Holdings Inc.",1309230,$323589286.8,1.3365599853,"Life Sciences Tools & Services","US",---
,"B0796X4","DXCM","Dexcom Inc.",2771806,$318951716.42,1.3174048672,"Health Care Equipment","US",---
,"BN44JF6","APO","Apollo Global Management LLC",2850116,$318642968.8,1.3161296096,"Diversified Financial Services","US",---
,"2380863","GWW","WW Grainger Inc.",320464,$311958885.44,1.2885215313,"Trading Companies & Distributors","US",---
,"2656423","ODFL","Old Dominion Freight Line Inc.",704492,$311723620.16,1.2875497866,"Cargo Ground Transportation","US",---
,"2724193","O","Realty Income Corp.",5967077,$310944382.47,1.2843312069,"Retail REITs","US",---
,"BYVG1F6","WCN","Waste Connections Inc.",1848287,$307628888.28,1.2706368201,"Environmental & Facilities Services","CA",---
,"B2972D2","MSCI","MSCI Inc. Class A",539023,$302375732.31,1.2489390744,"Financial Exchanges & Data","US",---
,"2332262","FAST","Fastenal Co.",4099263,$299287191.63,1.2361821011,"Trading Companies & Distributors","US",---
,"2089212","AME","AMETEK Inc.",1655719,$298327449.42,1.2322179617,"Electrical Components & Equipment","US",---
,"2023748","HES","Hess Corp.",1983122,$289040031.5,1.1938570157,"Oil & Gas Exploration & Production","US",---
,"BN13P03","DASH","DoorDash Inc. Class A",2260734,$281619634.38,1.1632076516,"Restaurants","US",---
,"BD8FDD1","TTD","Trade Desk Inc. Class A",3201447,$273499617.21,1.1296685622,"Advertising","US",---
