 (VBK) , , ,  
Holding details,2024-04-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
,"B55PZY3","TRGP","Targa Resources Corp",3205696,$365641685.76,1.08863,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"BDT5S35","AXON","Axon Enterprise Inc",1022629,$320757812.14,0.955,"Aerospace & Defense","US","Common Stock"
,"2267278","DECK","Deckers Outdoor Corp",368707,$301775618.29,0.89848,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"B95N910","PTC","PTC Inc",1631371,$289470470.24,0.86184,"Software","US","Common Stock"
,"2599700","ENTG","Entegris Inc",2160150,$287127138,0.85487,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"BLDDH12","DKNG","DraftKings Inc",6118250,$254274470,0.75705,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BL3LWS8","VRT","Vertiv Holdings Co",2603696,$242143728,0.72094,"Electrical Equipment","US","Common Stock"
,"BYZ62T3","PSTG","Pure Storage Inc. Class A",4310579,$217253181.6,0.64683,"Technology Hardware, Storage & Peripherals","US","Common Stock"
,"2442053","LII","Lennox International Inc",459936,$213143541.12,0.63459,"Building Products","US","Common Stock"
,"BYQBFT8","NTNX","Nutanix Inc",3484976,$211538043.2,0.62981,"Software","US","Common Stock"
,"2974329","MSTR","MicroStrategy Inc",193925,$206535942.75,0.61492,"Software","US","Common Stock"
,"2943039","WSO","Watsco Inc",446344,$199837135.68,0.59498,"Trading Companies & Distributors","US","Common Stock"
,"BPLYVN5","FWONK","Liberty Media Corp-Liberty Formula One",2839674,$198691989.78,0.59157,"Entertainment","US","Tracking Stk"
,"2623911","NBIX","Neurocrine Biosciences Inc",1428857,$196524991.78,0.58512,"Biotechnology","US","Common Stock"
,"BZ8VJQ8","VST","Vistra Corp",2566987,$194680294.08,0.57962,"Independent Power and Renewable Electricity Producers","US","Common Stock"
,"2380443","GGG","Graco Inc",2415177,$193697195.4,0.5767,"Machinery","US","Common Stock"
,"2641838","NDSN","Nordson Corp",739126,$190834941.94,0.56818,"Machinery","US","Common Stock"
,"BMWGSD8","RBA","RB Global Inc",2621058,$187615331.64,0.55859,"Commercial Services & Supplies","US","Common Stock"
,"BZ0P3W2","BLD","TopBuild Corp",456230,$184622594.1,0.54968,"Household Durables","US","Common Stock"
,"BJV2RD9","DT","Dynatrace Inc",4037632,$182945105.92,0.54468,"Software","US","Common Stock"
,"2239471","MANH","Manhattan Associates Inc",884003,$182157658.18,0.54234,"Software","US","Common Stock"
,"2516851","LECO","Lincoln Electric Holdings Inc",821374,$180316234.22,0.53686,"Machinery","US","Common Stock"
,"B19HX21","CELH","Celsius Holdings Inc",2494851,$177808030.77,0.52939,"Beverages","US","Common Stock"
,"BP7RS59","WMS","Advanced Drainage Systems Inc",1114299,$174944943,0.52087,"Building Products","US","Common Stock"
,"BHLNZ89","SWAV","Shockwave Medical Inc",529831,$174944897.89,0.52087,"Health Care Equipment & Supplies","US","Common Stock"
,"2179414","CASY","Casey's General Stores Inc",532785,$170267430.3,0.50694,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2604336","CRL","Charles River Laboratories International Inc",737454,$168876966,0.5028,"Life Sciences Tools & Services","US","Common Stock"
,"BFYT7B7","DOCU","DocuSign Inc",2927609,$165702669.4,0.49335,"Software","US","Common Stock"
,"BYYXHN4","WING","Wingstop Inc",421170,$162062004.3,0.48251,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BR9YYP4","QRVO","Qorvo Inc",1386244,$161968748.96,0.48223,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"B8DPDT7","SRPT","Sarepta Therapeutics Inc",1275685,$161578262.1,0.48107,"Biotechnology","US","Common Stock"
,"BYQHP96","FND","Floor & Decor Holdings Inc",1455869,$160626026.77,0.47823,"Specialty Retail","US","Common Stock"
,"2036047","FIX","Comfort Systems USA Inc",512617,$158608825.97,0.47223,"Construction & Engineering","US","Common Stock"
,"BCF5RR9","AMH","American Homes 4 Rent",4410296,$157888596.8,0.47008,"Residential REITs","US","REIT"
,"2719951","EXAS","Exact Sciences Corp",2604869,$154598975.15,0.46029,"Biotechnology","US","Common Stock"
