 (VTI) , , ,  
Holding details,2024-01-31
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
,"2588173","MSFT","Microsoft Corp.",233604270,$92876385666.6,6.2774044082,"Systems Software","US",---
,"2046251","AAPL","Apple Inc.",464401585,$85635652274,5.7880118528,"Technology Hardware, Storage & Periphera","US",---
,"2379504","NVDA","NVIDIA Corp.",73754175,$45378731252.25,3.0670944563,"Semiconductors","US",---
,"2000019","AMZN","Amazon.com Inc.",292340453,$45371238305.6,3.066588017,"Broadline Retail","US",---
,"B7TL820","META","Facebook Inc. Class A",69764466,$27217908765.24,1.8396260711,"Interactive Media & Services","US",---
,"BYVY8G0","GOOGL","Alphabet Inc. Class A",186059270,$26066903727,1.76183101,"Interactive Media & Services","US",---
,"BYY88Y7","GOOG","Alphabet Inc. Class C",152904056,$21681795140.8,1.4654467378,"Interactive Media & Services","US",---
,"2073390","BRK.B","Berkshire Hathaway Inc. Class B",55887184,$21446147988.16,1.4495196271,"Multi-Sector Holdings","US",---
,"2516152","LLY","Eli Lilly & Co.",26857819,$17339676524.59,1.1719681065,"Pharmaceuticals","US",---
,"BDZ78H9","AVGO","Broadcom Inc.",13948455,$16459176900,1.1124561844,"Semiconductors","US",---
,"B616C79","TSLA","Tesla Inc.",84932547,$15907016727.63,1.0751363353,"Automobile Manufacturers","US",---
,"2190385","JPM","JPMorgan Chase & Co.",90849833,$15840576881.88,1.0706457452,"Diversified Banks","US",---
,"2917766","UNH","UnitedHealth Group Inc.",29071770,$14877187579.8,1.0055314085,"Managed Health Care","US",---
,"B2PZN04","V","Visa Inc. Class A",49235222,$13454016763.72,0.9093409862,"Transaction & Payment Processing Service","US",---
,"2326618","XOM","Exxon Mobil Corp.",125914081,$12945226667.61,0.8749524689,"Integrated Oil & Gas","US",---
,"2475833","JNJ","Johnson & Johnson",75670293,$12024009557.7,0.8126885005,"Pharmaceuticals","US",---
,"B121557","MA","Mastercard Inc. Class A",26301319,$11815341534.37,0.798584877,"Transaction & Payment Processing Service","US",---
,"2704407","PG","Procter & Gamble Co.",74073106,$11639847876.84,0.7867234695,"Household Products","US",---
,"2434209","HD","Home Depot Inc.",31266351,$11035771248.96,0.7458946489,"Home Improvement Retail","US",---
,"2701271","COST","Costco Wholesale Corp.",13914388,$9668829933.44,0.6535047117,"Consumer Staples Merchandise Retail","US",---
,"2778844","MRK","Merck & Co. Inc.",79666791,$9622155016.98,0.6503500097,"Pharmaceuticals","US",---
,"B92SR70","ABBV","AbbVie Inc.",55502917,$9124679554.8,0.616726235,"Biotechnology","US",---
,"2008154","ADBE","Adobe Inc.",14309973,$8840415119.94,0.5975131401,"Application Software","US",---
